timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1652965513798,370,HTTP Request-POST,201,Created,Thread Group-ReqResApp 1-10,text,true,,917,222,3,3,https://reqres.in/api/users/2,370,0,0
1652965514004,228,HTTP Request-GET,200,OK,Thread Group-ReqResApp 1-11,text,true,,1862,162,3,3,https://reqres.in/api/users?page=1,227,0,171
1652965514120,356,HTTP Request-DELETE,204,No Content,Thread Group-ReqResApp 1-9,,true,,768,179,4,4,https://reqres.in/api/users/2,0,0,0
1652965514169,345,HTTP Request-PUT,200,OK,Thread Group-ReqResApp 1-10,text,true,,886,217,3,3,https://reqres.in/api/users/2,345,0,0
1652965514233,330,HTTP Request-POST,201,Created,Thread Group-ReqResApp 1-11,text,true,,889,205,3,3,https://reqres.in/api/users/2,330,0,0
1652965514406,209,HTTP Request-GET,200,OK,Thread Group-ReqResApp 1-12,text,true,,1901,162,3,3,https://reqres.in/api/users?page=2,209,0,147
1652965514515,357,HTTP Request-DELETE,204,No Content,Thread Group-ReqResApp 1-10,,true,,768,179,3,3,https://reqres.in/api/users/2,0,0,0
1652965514564,332,HTTP Request-PUT,200,OK,Thread Group-ReqResApp 1-11,text,true,,889,220,2,2,https://reqres.in/api/users/2,332,0,0
1652965514616,343,HTTP Request-POST,201,Created,Thread Group-ReqResApp 1-12,text,true,,908,222,2,2,https://reqres.in/api/users/2,343,0,0
1652965514897,340,HTTP Request-DELETE,204,No Content,Thread Group-ReqResApp 1-11,,true,,778,179,2,2,https://reqres.in/api/users/2,0,0,0
1652965514960,341,HTTP Request-PUT,200,OK,Thread Group-ReqResApp 1-12,text,true,,892,217,1,1,https://reqres.in/api/users/2,341,0,0
1652965515302,341,HTTP Request-DELETE,204,No Content,Thread Group-ReqResApp 1-12,,true,,762,179,1,1,https://reqres.in/api/users/2,0,0,0
